ReportGroup,GamingDate,Total HeadCount
GM Property Total,2024-03-13 00:00:00.000,32825
GM Property Total,2024-03-14 00:00:00.000,34040
GM Property Total,2024-03-15 00:00:00.000,43428
GM Property Total,2024-03-16 00:00:00.000,50601
GM Property Total,2024-03-17 00:00:00.000,35097
GM Property Total,2024-03-18 00:00:00.000,30933
GM Property Total,2024-03-19 00:00:00.000,27981
GM Property Total,2024-03-20 00:00:00.000,28781
GM Property Total,2024-03-21 00:00:00.000,28957
GM Property Total,2024-03-22 00:00:00.000,30157
GM Property Total,2024-03-23 00:00:00.000,35136
GM Property Total,2024-03-24 00:00:00.000,29351
GM Property Total,2024-03-25 00:00:00.000,28014
GM Property Total,2024-03-26 00:00:00.000,29711
GM Property Total,2024-03-27 00:00:00.000,27295
GM Property Total,2024-03-28 00:00:00.000,30951
GM Property Total,2024-03-29 00:00:00.000,33217
GM Property Total,2024-03-30 00:00:00.000,43421
GM Property Total,2024-03-31 00:00:00.000,33217
GM Property Total,2024-04-01 00:00:00.000,28440
GM Property Total,2024-04-02 00:00:00.000,26120
GM Property Total,2024-04-03 00:00:00.000,27949
GM Property Total,2024-04-04 00:00:00.000,33460
GM Property Total,2024-04-05 00:00:00.000,33331
GM Property Total,2024-04-06 00:00:00.000,38358
GM Property Total,2024-04-07 00:00:00.000,26105
GM Property Total,2024-04-08 00:00:00.000,25373
GM Property Total,2024-04-09 00:00:00.000,27441
GM Property Total,2024-04-10 00:00:00.000,30206
GM Property Total,2024-04-11 00:00:00.000,32248
GM Property Total,2024-04-12 00:00:00.000,34392
GM Property Total,2024-04-13 00:00:00.000,35540
GM Property Total,2024-04-14 00:00:00.000,34150
GM Property Total,2024-04-15 00:00:00.000,32252
GM Property Total,2024-04-16 00:00:00.000,32846
GM Property Total,2024-04-17 00:00:00.000,34929
GM Property Total,2024-04-18 00:00:00.000,38055
GM Property Total,2024-04-19 00:00:00.000,40015
GM Property Total,2024-04-20 00:00:00.000,42708
GM Property Total,2024-04-21 00:00:00.000,42268
GM Property Total,2024-04-22 00:00:00.000,32466
GM Property Total,2024-04-23 00:00:00.000,31897
GM Property Total,2024-04-24 00:00:00.000,32986
GM Property Total,2024-04-25 00:00:00.000,33883
GM Property Total,2024-04-26 00:00:00.000,33238
GM Property Total,2024-04-27 00:00:00.000,33953
GM Property Total,2024-04-28 00:00:00.000,32464
GM Property Total,2024-04-29 00:00:00.000,34106
GM Property Total,2024-04-30 00:00:00.000,39241
GM Property Total,2024-05-01 00:00:00.000,44431
GM Property Total,2024-05-02 00:00:00.000,46641
GM Property Total,2024-05-03 00:00:00.000,48132
GM Property Total,2024-05-04 00:00:00.000,41870
GM Property Total,2024-05-05 00:00:00.000,34965
GM Property Total,2024-05-06 00:00:00.000,31703
GM Property Total,2024-05-07 00:00:00.000,35678
GM Property Total,2024-05-08 00:00:00.000,39200
GM Property Total,2024-05-09 00:00:00.000,44230
GM Property Total,2024-05-10 00:00:00.000,46880
GM Property Total,2024-05-11 00:00:00.000,63723
GM Property Total,2024-05-12 00:00:00.000,67139
GM Property Total,2024-05-13 00:00:00.000,45717
GM Property Total,2024-05-14 00:00:00.000,48864
GM Property Total,2024-05-15 00:00:00.000,48133
GM Property Total,2024-05-16 00:00:00.000,54546
GM Property Total,2024-05-17 00:00:00.000,60190
GM Property Total,2024-05-18 00:00:00.000,68350
GM Property Total,2024-05-19 00:00:00.000,61945
GM Property Total,2024-05-20 00:00:00.000,43918
GM Property Total,2024-05-21 00:00:00.000,46313
GM Property Total,2024-05-22 00:00:00.000,47264
GM Property Total,2024-05-23 00:00:00.000,40802
GM Property Total,2024-05-24 00:00:00.000,33319
GM Property Total,2024-05-25 00:00:00.000,33558
GM Property Total,2024-05-26 00:00:00.000,29066
GM Property Total,2024-05-27 00:00:00.000,42438
GM Property Total,2024-05-28 00:00:00.000,44779
GM Property Total,2024-05-29 00:00:00.000,45634
GM Property Total,2024-05-30 00:00:00.000,46315
GM Property Total,2024-05-31 00:00:00.000,52067
GM Property Total,2024-06-01 00:00:00.000,61209
GM Property Total,2024-06-02 00:00:00.000,50377
GM Property Total,2024-06-03 00:00:00.000,40839
GM Property Total,2024-06-04 00:00:00.000,40544
GM Property Total,2024-06-05 00:00:00.000,41401
GM Property Total,2024-06-06 00:00:00.000,43825
GM Property Total,2024-06-07 00:00:00.000,58517
GM Property Total,2024-06-08 00:00:00.000,51327
GM Property Total,2024-06-09 00:00:00.000,51515
GM Property Total,2024-06-10 00:00:00.000,42083
GM Property Total,2024-06-11 00:00:00.000,39126
GM Property Total,2024-06-12 00:00:00.000,42642
GM Property Total,2024-06-13 00:00:00.000,43930
GM Property Total,2024-06-14 00:00:00.000,45753
GM Property Total,2024-06-15 00:00:00.000,59670
GM Property Total,2024-06-16 00:00:00.000,44346
GM Property Total,2024-06-17 00:00:00.000,43426
GM Property Total,2024-06-18 00:00:00.000,44832
GM Property Total,2024-06-19 00:00:00.000,44938
GM Property Total,2024-06-20 00:00:00.000,45153
GM Property Total,2024-06-21 00:00:00.000,47587
GM Property Total,2024-06-22 00:00:00.000,51433
GM Property Total,2024-06-23 00:00:00.000,47598
GM Property Total,2024-06-24 00:00:00.000,45537
GM Property Total,2024-06-25 00:00:00.000,45400
GM Property Total,2024-06-26 00:00:00.000,46841
GM Property Total,2024-06-27 00:00:00.000,48661
GM Property Total,2024-06-28 00:00:00.000,52487
GM Property Total,2024-06-29 00:00:00.000,80258
GM Property Total,2024-06-30 00:00:00.000,56742
GM Property Total,2024-07-01 00:00:00.000,50980
GM Property Total,2024-07-02 00:00:00.000,45675
GM Property Total,2024-07-03 00:00:00.000,48367
GM Property Total,2024-07-04 00:00:00.000,49746
GM Property Total,2024-07-05 00:00:00.000,65301
GM Property Total,2024-07-06 00:00:00.000,82901
GM Property Total,2024-07-07 00:00:00.000,50714
GM Property Total,2024-07-08 00:00:00.000,49974
GM Property Total,2024-07-09 00:00:00.000,50450
GM Property Total,2024-07-10 00:00:00.000,50855
GM Property Total,2024-07-11 00:00:00.000,52941
GM Property Total,2024-07-12 00:00:00.000,53272
GM Property Total,2024-07-13 00:00:00.000,65977
GM Property Total,2024-07-14 00:00:00.000,55535
GM Property Total,2024-07-15 00:00:00.000,53094
GM Property Total,2024-07-16 00:00:00.000,52646
GM Property Total,2024-07-17 00:00:00.000,51591
GM Property Total,2024-07-18 00:00:00.000,54625
GM Property Total,2024-07-19 00:00:00.000,74420
GM Property Total,2024-07-20 00:00:00.000,73360
GM Property Total,2024-07-21 00:00:00.000,67486
GM Property Total,2024-07-22 00:00:00.000,51859
GM Property Total,2024-07-23 00:00:00.000,55948
GM Property Total,2024-07-24 00:00:00.000,55382
GM Property Total,2024-07-25 00:00:00.000,57824
GM Property Total,2024-07-26 00:00:00.000,55856
GM Property Total,2024-07-27 00:00:00.000,57476
GM Property Total,2024-07-28 00:00:00.000,57484
GM Property Total,2024-07-29 00:00:00.000,52550
GM Property Total,2024-07-30 00:00:00.000,52285
GM Property Total,2024-07-31 00:00:00.000,55991
GM Property Total,2024-08-01 00:00:00.000,57511
GM Property Total,2024-08-02 00:00:00.000,75420
GM Property Total,2024-08-03 00:00:00.000,83732
GM Property Total,2024-08-04 00:00:00.000,79092
GM Property Total,2024-08-05 00:00:00.000,58972
GM Property Total,2024-08-06 00:00:00.000,60034
GM Property Total,2024-08-07 00:00:00.000,58581
GM Property Total,2024-08-08 00:00:00.000,58998
GM Property Total,2024-08-09 00:00:00.000,75714
GM Property Total,2024-08-10 00:00:00.000,80594
GM Property Total,2024-08-11 00:00:00.000,77803
GM Property Total,2024-08-12 00:00:00.000,58248
GM Property Total,2024-08-13 00:00:00.000,58396
GM Property Total,2024-08-14 00:00:00.000,56851
GM Property Total,2024-08-15 00:00:00.000,58203
GM Property Total,2024-08-16 00:00:00.000,57966
GM Property Total,2024-08-17 00:00:00.000,75780
GM Property Total,2024-08-18 00:00:00.000,56628
GM Property Total,2024-08-19 00:00:00.000,52102
GM Property Total,2024-08-20 00:00:00.000,51545
GM Property Total,2024-08-21 00:00:00.000,52217
GM Property Total,2024-08-22 00:00:00.000,56473
GM Property Total,2024-08-23 00:00:00.000,84532
GM Property Total,2024-08-24 00:00:00.000,90951
GM Property Total,2024-08-25 00:00:00.000,62741
GM Property Total,2024-08-26 00:00:00.000,54913
GM Property Total,2024-08-27 00:00:00.000,53940
GM Property Total,2024-08-28 00:00:00.000,53736
GM Property Total,2024-08-29 00:00:00.000,52971
GM Property Total,2024-08-30 00:00:00.000,83002
GM Property Total,2024-08-31 00:00:00.000,89123
GM Property Total,2024-09-01 00:00:00.000,48687
GM Property Total,2024-09-02 00:00:00.000,42118
GM Property Total,2024-09-03 00:00:00.000,49973
GM Property Total,2024-09-04 00:00:00.000,62028
GM Property Total,2024-09-05 00:00:00.000,59284
GM Property Total,2024-09-06 00:00:00.000,37031
GM Property Total,2024-09-07 00:00:00.000,48770
GM Property Total,2024-09-08 00:00:00.000,45421
GM Property Total,2024-09-09 00:00:00.000,43194
GM Property Total,2024-09-10 00:00:00.000,44665
GM Property Total,2024-09-11 00:00:00.000,45536
GM Property Total,2024-09-12 00:00:00.000,45341
GM Property Total,2024-09-13 00:00:00.000,48977
GM Property Total,2024-09-14 00:00:00.000,49071
GM Property Total,2024-09-15 00:00:00.000,54182
GM Property Total,2024-09-16 00:00:00.000,49959
GM Property Total,2024-09-17 00:00:00.000,40817
GM Property Total,2024-09-18 00:00:00.000,49061
GM Property Total,2024-09-19 00:00:00.000,57648
GM Property Total,2024-09-20 00:00:00.000,64443
GM Property Total,2024-09-21 00:00:00.000,70959
GM Property Total,2024-09-22 00:00:00.000,72305
GM Property Total,2024-09-23 00:00:00.000,59233
GM Property Total,2024-09-24 00:00:00.000,65128
GM Property Total,2024-09-25 00:00:00.000,68057
GM Property Total,2024-09-26 00:00:00.000,67734
GM Property Total,2024-09-27 00:00:00.000,69934
GM Property Total,2024-09-28 00:00:00.000,69083
GM Property Total,2024-09-29 00:00:00.000,74346
GM Property Total,2024-09-30 00:00:00.000,70689
GM Property Total,2024-10-01 00:00:00.000,80422
GM Property Total,2024-10-02 00:00:00.000,84846
GM Property Total,2024-10-03 00:00:00.000,107853
GM Property Total,2024-10-04 00:00:00.000,104429
GM Property Total,2024-10-05 00:00:00.000,96711
GM Property Total,2024-10-06 00:00:00.000,93663
GM Property Total,2024-10-07 00:00:00.000,62481
GM Property Total,2024-10-08 00:00:00.000,55764
GM Property Total,2024-10-09 00:00:00.000,57376
GM Property Total,2024-10-10 00:00:00.000,60281
GM Property Total,2024-10-11 00:00:00.000,62691
GM Property Total,2024-10-12 00:00:00.000,71353
GM Property Total,2024-10-13 00:00:00.000,67246
GM Property Total,2024-10-14 00:00:00.000,60343
GM Property Total,2024-10-15 00:00:00.000,61395
GM Property Total,2024-10-16 00:00:00.000,61359
GM Property Total,2024-10-17 00:00:00.000,61959
GM Property Total,2024-10-18 00:00:00.000,64390
GM Property Total,2024-10-19 00:00:00.000,82778
GM Property Total,2024-10-20 00:00:00.000,65324
GM Property Total,2024-10-21 00:00:00.000,59258
GM Property Total,2024-10-22 00:00:00.000,60659
GM Property Total,2024-10-23 00:00:00.000,58456
GM Property Total,2024-10-24 00:00:00.000,60336
GM Property Total,2024-10-25 00:00:00.000,84825
GM Property Total,2024-10-26 00:00:00.000,74590
GM Property Total,2024-10-27 00:00:00.000,79342
GM Property Total,2024-10-28 00:00:00.000,54637
GM Property Total,2024-10-29 00:00:00.000,55823
GM Property Total,2024-10-30 00:00:00.000,54981
GM Property Total,2024-10-31 00:00:00.000,62377
GM Property Total,2024-11-01 00:00:00.000,62195
GM Property Total,2024-11-02 00:00:00.000,85564
GM Property Total,2024-11-03 00:00:00.000,75720
GM Property Total,2024-11-04 00:00:00.000,57563
GM Property Total,2024-11-05 00:00:00.000,57474
GM Property Total,2024-11-06 00:00:00.000,57500
GM Property Total,2024-11-07 00:00:00.000,62634
GM Property Total,2024-11-08 00:00:00.000,97670
GM Property Total,2024-11-09 00:00:00.000,95074
GM Property Total,2024-11-10 00:00:00.000,64277
GM Property Total,2024-11-11 00:00:00.000,62020
GM Property Total,2024-11-12 00:00:00.000,61701
GM Property Total,2024-11-13 00:00:00.000,54552
GM Property Total,2024-11-14 00:00:00.000,47967
GM Property Total,2024-11-15 00:00:00.000,68054
GM Property Total,2024-11-16 00:00:00.000,92042
GM Property Total,2024-11-17 00:00:00.000,82246
GM Property Total,2024-11-18 00:00:00.000,58079
GM Property Total,2024-11-19 00:00:00.000,51986
GM Property Total,2024-11-20 00:00:00.000,51467
GM Property Total,2024-11-21 00:00:00.000,51703
GM Property Total,2024-11-22 00:00:00.000,59958
GM Property Total,2024-11-23 00:00:00.000,68856
GM Property Total,2024-11-24 00:00:00.000,52189
GM Property Total,2024-11-25 00:00:00.000,50589
GM Property Total,2024-11-26 00:00:00.000,51460
GM Property Total,2024-11-27 00:00:00.000,53102
GM Property Total,2024-11-28 00:00:00.000,56049
GM Property Total,2024-11-29 00:00:00.000,73841
GM Property Total,2024-11-30 00:00:00.000,89661
GM Property Total,2024-12-01 00:00:00.000,60392
GM Property Total,2024-12-02 00:00:00.000,53637
GM Property Total,2024-12-03 00:00:00.000,56515
GM Property Total,2024-12-04 00:00:00.000,54443
GM Property Total,2024-12-05 00:00:00.000,51452
GM Property Total,2024-12-06 00:00:00.000,58973
GM Property Total,2024-12-07 00:00:00.000,77034
GM Property Total,2024-12-08 00:00:00.000,59100
GM Property Total,2024-12-09 00:00:00.000,48962
GM Property Total,2024-12-10 00:00:00.000,53333
GM Property Total,2024-12-11 00:00:00.000,53583
GM Property Total,2024-12-12 00:00:00.000,50025
GM Property Total,2024-12-13 00:00:00.000,56792
GM Property Total,2024-12-14 00:00:00.000,64482
GM Property Total,2024-12-15 00:00:00.000,54930
GM Property Total,2024-12-16 00:00:00.000,53388
GM Property Total,2024-12-17 00:00:00.000,54255
GM Property Total,2024-12-18 00:00:00.000,51975
GM Property Total,2024-12-19 00:00:00.000,51335
GM Property Total,2024-12-20 00:00:00.000,53391
GM Property Total,2024-12-21 00:00:00.000,60685
GM Property Total,2024-12-22 00:00:00.000,59137
GM Property Total,2024-12-23 00:00:00.000,53105
GM Property Total,2024-12-24 00:00:00.000,58308
GM Property Total,2024-12-25 00:00:00.000,58613
GM Property Total,2024-12-26 00:00:00.000,58092
GM Property Total,2024-12-27 00:00:00.000,57976
GM Property Total,2024-12-28 00:00:00.000,64224
GM Property Total,2024-12-29 00:00:00.000,60262
GM Property Total,2024-12-30 00:00:00.000,59978
GM Property Total,2024-12-31 00:00:00.000,86432
GM Property Total,2025-01-01 00:00:00.000,54566
GM Property Total,2025-01-02 00:00:00.000,51333
GM Property Total,2025-01-03 00:00:00.000,57401
GM Property Total,2025-01-04 00:00:00.000,58986
GM Property Total,2025-01-05 00:00:00.000,54866
GM Property Total,2025-01-06 00:00:00.000,53679
GM Property Total,2025-01-07 00:00:00.000,53272
GM Property Total,2025-01-08 00:00:00.000,52215
GM Property Total,2025-01-09 00:00:00.000,55878
GM Property Total,2025-01-10 00:00:00.000,60805
GM Property Total,2025-01-11 00:00:00.000,72694
GM Property Total,2025-01-12 00:00:00.000,63264
GM Property Total,2025-01-13 00:00:00.000,54859
GM Property Total,2025-01-14 00:00:00.000,51481
GM Property Total,2025-01-15 00:00:00.000,55752
GM Property Total,2025-01-16 00:00:00.000,57850
GM Property Total,2025-01-17 00:00:00.000,63988
GM Property Total,2025-01-18 00:00:00.000,98397
GM Property Total,2025-01-19 00:00:00.000,92440
GM Property Total,2025-01-20 00:00:00.000,61055
GM Property Total,2025-01-21 00:00:00.000,56899
GM Property Total,2025-01-22 00:00:00.000,52429
GM Property Total,2025-01-23 00:00:00.000,56488
GM Property Total,2025-01-24 00:00:00.000,57204
GM Property Total,2025-01-25 00:00:00.000,56078
GM Property Total,2025-01-26 00:00:00.000,66301
GM Property Total,2025-01-27 00:00:00.000,61656
GM Property Total,2025-01-28 00:00:00.000,58371
GM Property Total,2025-01-29 00:00:00.000,70104
GM Property Total,2025-01-30 00:00:00.000,76489
GM Property Total,2025-01-31 00:00:00.000,84538
GM Property Total,2025-02-01 00:00:00.000,90815
GM Property Total,2025-02-02 00:00:00.000,72432
GM Property Total,2025-02-03 00:00:00.000,72659
GM Property Total,2025-02-04 00:00:00.000,67279
GM Property Total,2025-02-05 00:00:00.000,63517
GM Property Total,2025-02-06 00:00:00.000,59627
GM Property Total,2025-02-07 00:00:00.000,65835
GM Property Total,2025-02-08 00:00:00.000,65170
GM Property Total,2025-02-09 00:00:00.000,74346
GM Property Total,2025-02-10 00:00:00.000,60276
GM Property Total,2025-02-11 00:00:00.000,55045
GM Property Total,2025-02-12 00:00:00.000,46912
GM Property Total,2025-02-13 00:00:00.000,46509
GM Property Total,2025-02-14 00:00:00.000,52559
GM Property Total,2025-02-15 00:00:00.000,72734
GM Property Total,2025-02-16 00:00:00.000,74399
GM Property Total,2025-02-17 00:00:00.000,50674
GM Property Total,2025-02-18 00:00:00.000,53245
GM Property Total,2025-02-19 00:00:00.000,51895
GM Property Total,2025-02-20 00:00:00.000,52965
GM Property Total,2025-02-21 00:00:00.000,56507
GM Property Total,2025-02-22 00:00:00.000,74193
GM Property Total,2025-02-23 00:00:00.000,70336
GM Property Total,2025-02-24 00:00:00.000,54747
GM Property Total,2025-02-25 00:00:00.000,52415
GM Property Total,2025-02-26 00:00:00.000,52248
GM Property Total,2025-02-27 00:00:00.000,56182
GM Property Total,2025-02-28 00:00:00.000,63189
GM Property Total,2025-03-01 00:00:00.000,59922
GM Property Total,2025-03-02 00:00:00.000,58361
GM Property Total,2025-03-03 00:00:00.000,50306
GM Property Total,2025-03-04 00:00:00.000,52941
GM Property Total,2025-03-05 00:00:00.000,53132
GM Property Total,2025-03-06 00:00:00.000,65290
GM Property Total,2025-03-07 00:00:00.000,75351
GM Property Total,2025-03-08 00:00:00.000,79951
GM Property Total,2025-03-09 00:00:00.000,70784
GM Property Total,2025-03-10 00:00:00.000,55474
GM Property Total,2025-03-11 00:00:00.000,57065
GM Property Total,2025-03-12 00:00:00.000,57591
GM Property Total,2025-03-13 00:00:00.000,60343
GM Property Total,2025-03-14 00:00:00.000,54006
GM Property Total,2025-03-15 00:00:00.000,61302
GM Property Total,2025-03-16 00:00:00.000,54586
GM Property Total,2025-03-17 00:00:00.000,49184
GM Property Total,2025-03-18 00:00:00.000,51272
GM Property Total,2025-03-19 00:00:00.000,57054
GM Property Total,2025-03-20 00:00:00.000,58157
GM Property Total,2025-03-21 00:00:00.000,66608
GM Property Total,2025-03-22 00:00:00.000,78781
GM Property Total,2025-03-23 00:00:00.000,60376
GM Property Total,2025-03-24 00:00:00.000,56370
GM Property Total,2025-03-25 00:00:00.000,58957
GM Property Total,2025-03-26 00:00:00.000,57992
GM Property Total,2025-03-27 00:00:00.000,58313
GM Property Total,2025-03-28 00:00:00.000,63178
GM Property Total,2025-03-29 00:00:00.000,72803
GM Property Total,2025-03-30 00:00:00.000,67937
GM Property Total,2025-03-31 00:00:00.000,65140
GM Property Total,2025-04-01 00:00:00.000,49656
GM Property Total,2025-04-02 00:00:00.000,47037
GM Property Total,2025-04-03 00:00:00.000,51140
GM Property Total,2025-04-04 00:00:00.000,65229
GM Property Total,2025-04-05 00:00:00.000,64882
GM Property Total,2025-04-06 00:00:00.000,49335
GM Property Total,2025-04-07 00:00:00.000,49163
GM Property Total,2025-04-08 00:00:00.000,50884
GM Property Total,2025-04-09 00:00:00.000,54294
GM Property Total,2025-04-10 00:00:00.000,56946
GM Property Total,2025-04-11 00:00:00.000,62222
GM Property Total,2025-04-12 00:00:00.000,61251
GM Property Total,2025-04-13 00:00:00.000,59365
GM Property Total,2025-04-14 00:00:00.000,62713
GM Property Total,2025-04-15 00:00:00.000,71717
GM Property Total,2025-04-16 00:00:00.000,69303
GM Property Total,2025-04-17 00:00:00.000,76895
GM Property Total,2025-04-18 00:00:00.000,80633
GM Property Total,2025-04-19 00:00:00.000,95708
GM Property Total,2025-04-20 00:00:00.000,86105
GM Property Total,2025-04-21 00:00:00.000,67462
GM Property Total,2025-04-22 00:00:00.000,66614
GM Property Total,2025-04-23 00:00:00.000,66656
GM Property Total,2025-04-24 00:00:00.000,66944
GM Property Total,2025-04-25 00:00:00.000,66151
GM Property Total,2025-04-26 00:00:00.000,83521
GM Property Total,2025-04-27 00:00:00.000,85746
GM Property Total,2025-04-28 00:00:00.000,63896
GM Property Total,2025-04-29 00:00:00.000,62331
GM Property Total,2025-04-30 00:00:00.000,66890
GM Property Total,2025-05-01 00:00:00.000,84320
GM Property Total,2025-05-02 00:00:00.000,102215
GM Property Total,2025-05-03 00:00:00.000,96730
GM Property Total,2025-05-04 00:00:00.000,78377
GM Property Total,2025-05-05 00:00:00.000,62843
GM Property Total,2025-05-06 00:00:00.000,60405
GM Property Total,2025-05-07 00:00:00.000,60217
GM Property Total,2025-05-08 00:00:00.000,63419
GM Property Total,2025-05-09 00:00:00.000,92391
GM Property Total,2025-05-10 00:00:00.000,108004
GM Property Total,2025-05-11 00:00:00.000,89050
GM Property Total,2025-05-12 00:00:00.000,61061
GM Property Total,2025-05-13 00:00:00.000,63229
GM Property Total,2025-05-14 00:00:00.000,61504
GM Property Total,2025-05-15 00:00:00.000,66524
GM Property Total,2025-05-16 00:00:00.000,72677
GM Property Total,2025-05-17 00:00:00.000,101397
GM Property Total,2025-05-18 00:00:00.000,93196
GM Property Total,2025-05-19 00:00:00.000,67934
GM Property Total,2025-05-20 00:00:00.000,66258
GM Property Total,2025-05-21 00:00:00.000,67702
GM Property Total,2025-05-22 00:00:00.000,68914
GM Property Total,2025-05-23 00:00:00.000,70279
GM Property Total,2025-05-24 00:00:00.000,68256
GM Property Total,2025-05-25 00:00:00.000,58973
GM Property Total,2025-05-26 00:00:00.000,55609
GM Property Total,2025-05-27 00:00:00.000,58319
GM Property Total,2025-05-28 00:00:00.000,56814
GM Property Total,2025-05-29 00:00:00.000,55999
GM Property Total,2025-05-30 00:00:00.000,57720
GM Property Total,2025-05-31 00:00:00.000,80332
GM Property Total,2025-06-01 00:00:00.000,76052
GM Property Total,2025-06-02 00:00:00.000,66992
GM Property Total,2025-06-03 00:00:00.000,57632
GM Property Total,2025-06-04 00:00:00.000,55907
GM Property Total,2025-06-05 00:00:00.000,64827
GM Property Total,2025-06-06 00:00:00.000,108154
GM Property Total,2025-06-07 00:00:00.000,123308
GM Property Total,2025-06-08 00:00:00.000,108617
GM Property Total,2025-06-09 00:00:00.000,64020
GM Property Total,2025-06-10 00:00:00.000,62444
GM Property Total,2025-06-11 00:00:00.000,59119
GM Property Total,2025-06-12 00:00:00.000,48765
GM Property Total,2025-06-13 00:00:00.000,59417
GM Property Total,2025-06-14 00:00:00.000,55250
GM Property Total,2025-06-15 00:00:00.000,56080
GM Property Total,2025-06-16 00:00:00.000,62479
GM Property Total,2025-06-17 00:00:00.000,62568
GM Property Total,2025-06-18 00:00:00.000,69862
GM Property Total,2025-06-19 00:00:00.000,67450
GM Property Total,2025-06-20 00:00:00.000,87641
GM Property Total,2025-06-21 00:00:00.000,88770
GM Property Total,2025-06-22 00:00:00.000,87641
GM Property Total,2025-06-23 00:00:00.000,65727
SW Property Total,2024-01-01 00:00:00.000,11735
SW Property Total,2024-01-02 00:00:00.000,9849
SW Property Total,2024-01-03 00:00:00.000,10141
SW Property Total,2024-01-04 00:00:00.000,10248
SW Property Total,2024-01-05 00:00:00.000,10592
SW Property Total,2024-01-06 00:00:00.000,11269
SW Property Total,2024-01-07 00:00:00.000,10640
SW Property Total,2024-01-08 00:00:00.000,10329
SW Property Total,2024-01-09 00:00:00.000,10937
SW Property Total,2024-01-10 00:00:00.000,11327
SW Property Total,2024-01-11 00:00:00.000,10948
SW Property Total,2024-01-12 00:00:00.000,10765
SW Property Total,2024-01-13 00:00:00.000,12304
SW Property Total,2024-01-14 00:00:00.000,11586
SW Property Total,2024-01-15 00:00:00.000,10880
SW Property Total,2024-01-16 00:00:00.000,10649
SW Property Total,2024-01-17 00:00:00.000,10963
SW Property Total,2024-01-18 00:00:00.000,10577
SW Property Total,2024-01-19 00:00:00.000,10751
SW Property Total,2024-01-20 00:00:00.000,11496
SW Property Total,2024-01-21 00:00:00.000,11390
SW Property Total,2024-01-22 00:00:00.000,9939
SW Property Total,2024-01-23 00:00:00.000,9631
SW Property Total,2024-01-24 00:00:00.000,9535
SW Property Total,2024-01-25 00:00:00.000,10073
SW Property Total,2024-01-26 00:00:00.000,11204
SW Property Total,2024-01-27 00:00:00.000,10927
SW Property Total,2024-01-28 00:00:00.000,10336
SW Property Total,2024-01-29 00:00:00.000,10215
SW Property Total,2024-01-30 00:00:00.000,10707
SW Property Total,2024-01-31 00:00:00.000,10852
SW Property Total,2024-02-01 00:00:00.000,10512
SW Property Total,2024-02-02 00:00:00.000,10424
SW Property Total,2024-02-03 00:00:00.000,10246
SW Property Total,2024-02-04 00:00:00.000,10073
SW Property Total,2024-02-05 00:00:00.000,10219
SW Property Total,2024-02-06 00:00:00.000,11041
SW Property Total,2024-02-07 00:00:00.000,9763
SW Property Total,2024-02-08 00:00:00.000,8324
SW Property Total,2024-02-09 00:00:00.000,9170
SW Property Total,2024-02-10 00:00:00.000,12229
SW Property Total,2024-02-11 00:00:00.000,14371
SW Property Total,2024-02-12 00:00:00.000,18401
SW Property Total,2024-02-13 00:00:00.000,15497
SW Property Total,2024-02-14 00:00:00.000,14565
SW Property Total,2024-02-15 00:00:00.000,14012
SW Property Total,2024-02-16 00:00:00.000,12985
SW Property Total,2024-02-17 00:00:00.000,11554
SW Property Total,2024-02-18 00:00:00.000,9840
SW Property Total,2024-02-19 00:00:00.000,10131
SW Property Total,2024-02-20 00:00:00.000,9981
SW Property Total,2024-02-21 00:00:00.000,10270
SW Property Total,2024-02-22 00:00:00.000,10633
SW Property Total,2024-02-23 00:00:00.000,9900
SW Property Total,2024-02-24 00:00:00.000,10747
SW Property Total,2024-02-25 00:00:00.000,9872
SW Property Total,2024-02-26 00:00:00.000,10061
SW Property Total,2024-02-27 00:00:00.000,9896
SW Property Total,2024-02-28 00:00:00.000,10553
SW Property Total,2024-02-29 00:00:00.000,10640
SW Property Total,2024-03-01 00:00:00.000,10296
SW Property Total,2024-03-02 00:00:00.000,11451
SW Property Total,2024-03-03 00:00:00.000,10534
SW Property Total,2024-03-04 00:00:00.000,10589
SW Property Total,2024-03-05 00:00:00.000,11058
SW Property Total,2024-03-06 00:00:00.000,11406
SW Property Total,2024-03-07 00:00:00.000,11353
SW Property Total,2024-03-08 00:00:00.000,12135
SW Property Total,2024-03-09 00:00:00.000,13100
SW Property Total,2024-03-10 00:00:00.000,10958
SW Property Total,2024-03-11 00:00:00.000,9979
SW Property Total,2024-03-12 00:00:00.000,11541
SW Property Total,2024-03-13 00:00:00.000,11531
SW Property Total,2024-03-14 00:00:00.000,10641
SW Property Total,2024-03-15 00:00:00.000,11672
SW Property Total,2024-03-16 00:00:00.000,13079
SW Property Total,2024-03-17 00:00:00.000,11860
SW Property Total,2024-03-18 00:00:00.000,11119
SW Property Total,2024-03-19 00:00:00.000,11581
SW Property Total,2024-03-20 00:00:00.000,11587
SW Property Total,2024-03-21 00:00:00.000,12109
SW Property Total,2024-03-22 00:00:00.000,12004
SW Property Total,2024-03-23 00:00:00.000,12089
SW Property Total,2024-03-24 00:00:00.000,10980
SW Property Total,2024-03-25 00:00:00.000,9912
SW Property Total,2024-03-26 00:00:00.000,11110
SW Property Total,2024-03-27 00:00:00.000,11154
SW Property Total,2024-03-28 00:00:00.000,10744
SW Property Total,2024-03-29 00:00:00.000,11193
SW Property Total,2024-03-30 00:00:00.000,12328
SW Property Total,2024-03-31 00:00:00.000,10240
